snapshot_date,expiry,type,S0,K,T,dte,bid,ask,mid,spread,rel_spread,volume,open_interest,r,q,forward,iv_mkt,vega,moneyness
2026-06-24,2026-07-24,call,733.239990234375,615.0,0.0821917808219178,30,123.25,126.53,124.89,3.280000000000001,0.026263111538153583,2.0,13,0.03690000057220459,0.012664339266372794,734.7020395804306,0.5166376131935905,37.17493980970605,0.8387431239305696
2026-06-24,2026-07-24,call,733.239990234375,635.0,0.0821917808219178,30,103.55,106.83,105.19,3.280000000000001,0.031181671261526774,14.0,15,0.03690000057220459,0.012664339266372794,734.7020395804306,0.4529957735594401,41.3711519034325,0.8660193230827832
2026-06-24,2026-07-24,call,733.239990234375,640.0,0.0821917808219178,30,98.65,101.93,100.29,3.280000000000001,0.032705155050353985,51.0,61,0.03690000057220459,0.012664339266372794,734.7020395804306,0.43752008632584627,42.606181039296175,0.8728383728708367
2026-06-24,2026-07-24,call,733.239990234375,645.0,0.0821917808219178,30,94.46,96.07,95.26499999999999,1.6099999999999994,0.016900225686243633,2.0,163,0.03690000057220459,0.012664339266372794,734.7020395804306,0.41907273507913073,43.549619264584436,0.87965742265889
2026-06-24,2026-07-24,call,733.239990234375,650.0,0.0821917808219178,30,88.88,92.16,90.52,3.280000000000001,0.036235086168802486,4.0,14,0.03690000057220459,0.012664339266372794,734.7020395804306,0.4068826939998581,45.32467210490033,0.8864764724469434
2026-06-24,2026-07-24,call,733.239990234375,670.0,0.0821917808219178,30,69.56,72.69,71.125,3.1299999999999955,0.04400702987697709,1.0,33,0.03690000057220459,0.012664339266372794,734.7020395804306,0.34643327128770546,51.93783948492283,0.9137526715991571
2026-06-24,2026-07-24,call,733.239990234375,675.0,0.0821917808219178,30,64.8,68.1,66.44999999999999,3.299999999999997,0.0496613995485327,4.0,16,0.03690000057220459,0.012664339266372794,734.7020395804306,0.3339152085450044,54.20235388427415,0.9205717213872104
2026-06-24,2026-07-24,call,733.239990234375,680.0,0.0821917808219178,30,60.09,63.29,61.69,3.1999999999999957,0.05187226454854913,1.0,13,0.03690000057220459,0.012664339266372794,734.7020395804306,0.31935474395945695,56.33579074028912,0.9273907711752639
2026-06-24,2026-07-24,call,733.239990234375,686.0,0.0821917808219178,30,54.49,57.79,56.14,3.299999999999997,0.058781617385108606,,27,0.03690000057220459,0.012664339266372794,734.7020395804306,0.30404538523556945,59.34299073240593,0.935573630920928
2026-06-24,2026-07-24,call,733.239990234375,687.0,0.0821917808219178,30,53.57,56.87,55.22,3.299999999999997,0.05976095617529875,16.0,16,0.03690000057220459,0.012664339266372794,734.7020395804306,0.3014871428035054,59.861505162771294,0.9369374408785387
2026-06-24,2026-07-24,call,733.239990234375,690.0,0.0821917808219178,30,50.81,54.12,52.465,3.309999999999995,0.06308967883350795,3.0,20,0.03690000057220459,0.012664339266372794,734.7020395804306,0.2937269779269064,61.43769357413574,0.9410288707513708
2026-06-24,2026-07-24,call,733.239990234375,692.0,0.0821917808219178,30,48.98,52.3,50.64,3.3200000000000003,0.06556082148499211,1.0,18,0.03690000057220459,0.012664339266372794,734.7020395804306,0.28859670436200907,62.51861584928286,0.9437564906665921
2026-06-24,2026-07-24,call,733.239990234375,695.0,0.0821917808219178,30,46.27,49.43,47.85,3.1599999999999966,0.06603970741901768,1.0,28,0.03690000057220459,0.012664339266372794,734.7020395804306,0.279850223448254,64.06128838416237,0.9478479205394241
2026-06-24,2026-07-24,call,733.239990234375,698.0,0.0821917808219178,30,43.58,46.75,45.165,3.1700000000000017,0.07018709177460426,4.0,18,0.03690000057220459,0.012664339266372794,734.7020395804306,0.2724560778321174,65.79511551270781,0.9519393504122562
2026-06-24,2026-07-24,call,733.239990234375,700.0,0.0821917808219178,30,41.8,45.13,43.465,3.3300000000000054,0.0766133670769586,4.0,24,0.03690000057220459,0.012664339266372794,734.7020395804306,0.2686830595272998,67.0831126681418,0.9546669703274775
2026-06-24,2026-07-24,call,733.239990234375,702.0,0.0821917808219178,30,40.04,43.24,41.64,3.200000000000003,0.07684918347742561,4.0,12,0.03690000057220459,0.012664339266372794,734.7020395804306,0.26287886759916435,68.18131041571114,0.9573945902426989
2026-06-24,2026-07-24,call,733.239990234375,705.0,0.0821917808219178,30,37.43,40.62,39.025,3.1899999999999977,0.08174247277386286,38.0,126,0.03690000057220459,0.012664339266372794,734.7020395804306,0.2556636359724247,69.98941078487158,0.961486020115531
2026-06-24,2026-07-24,call,733.239990234375,708.0,0.0821917808219178,30,34.86,38.1,36.480000000000004,3.240000000000002,0.08881578947368425,2.0,30,0.03690000057220459,0.012664339266372794,734.7020395804306,0.24900977441799668,71.8465699862101,0.965577449988363
2026-06-24,2026-07-24,call,733.239990234375,710.0,0.0821917808219178,30,33.17,36.41,34.79,3.239999999999995,0.0931302098304109,39.0,43,0.03690000057220459,0.012664339266372794,734.7020395804306,0.24440178936812412,73.0620736298986,0.9683050699035843
2026-06-24,2026-07-24,call,733.239990234375,711.0,0.0821917808219178,30,32.34,35.6,33.97,3.259999999999998,0.09596702973211652,18.0,39,0.03690000057220459,0.012664339266372794,734.7020395804306,0.2423555730014947,73.68277061470039,0.9696688798611951
2026-06-24,2026-07-24,call,733.239990234375,712.0,0.0821917808219178,30,31.5,34.8,33.15,3.299999999999997,0.09954751131221712,4.0,51,0.03690000057220459,0.012664339266372794,734.7020395804306,0.2402486970772234,74.29377576864873,0.9710326898188057
2026-06-24,2026-07-24,call,733.239990234375,713.0,0.0821917808219178,30,30.68,33.95,32.315,3.270000000000003,0.1011913971839704,1.0,32,0.03690000057220459,0.012664339266372794,734.7020395804306,0.23788041683804265,74.88268157217563,0.9723964997764164
2026-06-24,2026-07-24,call,733.239990234375,715.0,0.0821917808219178,30,29.04,32.39,30.715,3.3500000000000014,0.10906723099462808,7.0,193,0.03690000057220459,0.012664339266372794,734.7020395804306,0.23388778323033615,76.08277994055372,0.9751241196916378
2026-06-24,2026-07-24,call,733.239990234375,716.0,0.0821917808219178,30,28.23,31.54,29.884999999999998,3.3099999999999987,0.11075790530366401,5.0,11,0.03690000057220459,0.012664339266372794,734.7020395804306,0.23139991455596626,76.64364272760254,0.9764879296492485
2026-06-24,2026-07-24,call,733.239990234375,719.0,0.0821917808219178,30,25.84,29.15,27.494999999999997,3.3099999999999987,0.12038552464084376,2.0,88,0.03690000057220459,0.012664339266372794,734.7020395804306,0.22483759884038104,78.30866982484388,0.9805793595220805
2026-06-24,2026-07-24,call,733.239990234375,720.0,0.0821917808219178,30,25.06,28.2,26.63,3.1400000000000006,0.11791212917761926,38.0,59,0.03690000057220459,0.012664339266372794,734.7020395804306,0.22164255996441343,78.80166885392467,0.9819431694796912
2026-06-24,2026-07-24,call,733.239990234375,721.0,0.0821917808219178,30,24.28,27.42,25.85,3.1400000000000006,0.12147001934235978,10.0,34,0.03690000057220459,0.012664339266372794,734.7020395804306,0.21945811069655363,79.31837008620892,0.9833069794373018
2026-06-24,2026-07-24,call,733.239990234375,722.0,0.0821917808219178,30,23.51,26.88,25.195,3.3699999999999974,0.13375669775749147,42.0,46,0.03690000057220459,0.012664339266372794,734.7020395804306,0.21876308523220753,79.85961638032605,0.9846707893949126
2026-06-24,2026-07-24,call,733.239990234375,723.0,0.0821917808219178,30,22.75,25.89,24.32,3.1400000000000006,0.1291118421052632,4.0,33,0.03690000057220459,0.012664339266372794,734.7020395804306,0.21523279057121344,80.30142949778465,0.9860345993525232
2026-06-24,2026-07-24,call,733.239990234375,725.0,0.0821917808219178,30,21.24,24.4,22.82,3.16,0.13847502191060473,91.0,207,0.03690000057220459,0.012664339266372794,734.7020395804306,0.21105260398438927,81.19918720139849,0.9887622192677445
2026-06-24,2026-07-24,call,733.239990234375,726.0,0.0821917808219178,30,20.5,23.72,22.11,3.219999999999999,0.14563545906829484,3.0,175,0.03690000057220459,0.012664339266372794,734.7020395804306,0.2093244180339553,81.61603569718727,0.9901260292253553
2026-06-24,2026-07-24,call,733.239990234375,727.0,0.0821917808219178,30,19.77,22.91,21.34,3.1400000000000006,0.14714151827553892,21.0,395,0.03690000057220459,0.012664339266372794,734.7020395804306,0.206772239929273,81.99291528792193,0.991489839182966
2026-06-24,2026-07-24,call,733.239990234375,728.0,0.0821917808219178,30,19.12,22.3,20.71,3.1799999999999997,0.15354901014002895,28.0,245,0.03690000057220459,0.012664339266372794,734.7020395804306,0.20583276118231447,82.35739127874199,0.9928536491405766
2026-06-24,2026-07-24,call,733.239990234375,729.0,0.0821917808219178,30,18.47,21.6,20.035,3.1300000000000026,0.15622660344397318,8.0,344,0.03690000057220459,0.012664339266372794,734.7020395804306,0.20424588688543788,82.67912281614213,0.9942174590981874
2026-06-24,2026-07-24,call,733.239990234375,730.0,0.0821917808219178,30,18.87,19.83,19.35,0.9599999999999973,0.04961240310077505,98.0,410,0.03690000057220459,0.012664339266372794,734.7020395804306,0.2024385895974828,82.96287193209801,0.995581269055798
2026-06-24,2026-07-24,call,733.239990234375,731.0,0.0821917808219178,30,17.24,20.18,18.71,2.9400000000000013,0.15713522180652065,111.0,189,0.03690000057220459,0.012664339266372794,734.7020395804306,0.20107134326639625,83.20960663207006,0.9969450790134087
2026-06-24,2026-07-24,call,733.239990234375,732.0,0.0821917808219178,30,17.6,18.35,17.975,0.75,0.041724617524339355,254.0,230,0.03690000057220459,0.012664339266372794,734.7020395804306,0.19845970703266838,83.41264525524441,0.9983088889710193
2026-06-24,2026-07-24,call,733.239990234375,733.0,0.0821917808219178,30,16.89,17.5,17.195,0.6099999999999994,0.035475428903751056,309.0,171,0.03690000057220459,0.012664339266372794,734.7020395804306,0.19520697289214195,83.57410353541573,0.9996726989286301
2026-06-24,2026-07-24,call,733.239990234375,734.0,0.0821917808219178,30,16.28,16.84,16.560000000000002,0.5599999999999987,0.03381642512077287,426.0,161,0.03690000057220459,0.012664339266372794,734.7020395804306,0.19358187412835334,83.69106844218916,1.0010365088862407
2026-06-24,2026-07-24,call,733.239990234375,735.0,0.0821917808219178,30,15.36,16.39,15.875,1.0300000000000011,0.0648818897637796,303.0,485,0.03690000057220459,0.012664339266372794,734.7020395804306,0.1912468503123819,83.7589683044959,1.0024003188438515
2026-06-24,2026-07-24,call,733.239990234375,736.0,0.0821917808219178,30,15.19,15.4,15.295,0.21000000000000085,0.013729977116704862,503.0,393,0.03690000057220459,0.012664339266372794,734.7020395804306,0.19004978040891515,83.77464175371007,1.003764128801462
2026-06-24,2026-07-24,call,733.239990234375,737.0,0.0821917808219178,30,14.67,14.8,14.735,0.13000000000000078,0.008822531387852106,141.0,213,0.03690000057220459,0.012664339266372794,734.7020395804306,0.18897301605845893,83.73665986931309,1.0051279387590728
2026-06-24,2026-07-24,call,733.239990234375,738.0,0.0821917808219178,30,14.04,14.17,14.105,0.13000000000000078,0.009216589861751208,1316.0,803,0.03690000057220459,0.012664339266372794,734.7020395804306,0.18693901909405655,83.64085315400665,1.0064917487166836
2026-06-24,2026-07-24,call,733.239990234375,739.0,0.0821917808219178,30,13.43,13.56,13.495000000000001,0.13000000000000078,0.009633197480548408,208.0,471,0.03690000057220459,0.012664339266372794,734.7020395804306,0.18501887437523426,83.48460560229806,1.007855558674294
2026-06-24,2026-07-24,call,733.239990234375,740.0,0.0821917808219178,30,12.83,12.96,12.895,0.13000000000000078,0.010081426909654965,729.0,1494,0.03690000057220459,0.012664339266372794,734.7020395804306,0.18308967188666564,83.26455549994171,1.0092193686319049
2026-06-24,2026-07-24,call,733.239990234375,741.0,0.0821917808219178,30,12.25,12.37,12.309999999999999,0.11999999999999922,0.009748172217709117,394.0,131,0.03690000057220459,0.012664339266372794,734.7020395804306,0.1812080732505189,82.97808538491316,1.0105831785895154
2026-06-24,2026-07-24,call,733.239990234375,742.0,0.0821917808219178,30,11.67,11.79,11.73,0.11999999999999922,0.010230179028132926,154.0,268,0.03690000057220459,0.012664339266372794,734.7020395804306,0.17925008025150874,82.62054505042552,1.0119469885471262
2026-06-24,2026-07-24,call,733.239990234375,743.0,0.0821917808219178,30,11.11,11.23,11.17,0.120000000000001,0.010743061772605282,96.0,587,0.03690000057220459,0.012664339266372794,734.7020395804306,0.17739351141128695,82.19149866659397,1.013310798504737
2026-06-24,2026-07-24,call,733.239990234375,744.0,0.0821917808219178,30,10.56,10.68,10.620000000000001,0.11999999999999922,0.011299435028248513,555.0,380,0.03690000057220459,0.012664339266372794,734.7020395804306,0.17551409455267591,81.68602270556325,1.0146746084623475
2026-06-24,2026-07-24,call,733.239990234375,745.0,0.0821917808219178,30,10.03,10.15,10.09,0.120000000000001,0.011892963330029831,232.0,1180,0.03690000057220459,0.012664339266372794,734.7020395804306,0.17373116341302375,81.10493096239354,1.0160384184199582
2026-06-24,2026-07-24,call,733.239990234375,746.0,0.0821917808219178,30,9.51,9.62,9.565,0.10999999999999943,0.011500261369576522,64.0,560,0.03690000057220459,0.012664339266372794,734.7020395804306,0.1718570808325624,80.43929804945108,1.017402228377569
2026-06-24,2026-07-24,call,733.239990234375,747.0,0.0821917808219178,30,9.0,9.11,9.055,0.10999999999999943,0.012147984538928706,36.0,1557,0.03690000057220459,0.012664339266372794,734.7020395804306,0.17001151093948455,79.69040954043261,1.0187660383351795
2026-06-24,2026-07-24,call,733.239990234375,748.0,0.0821917808219178,30,8.51,8.62,8.565,0.10999999999999943,0.012842965557501394,126.0,1429,0.03690000057220459,0.012664339266372794,734.7020395804306,0.16825523228420383,78.86034182803385,1.0201298482927903
2026-06-24,2026-07-24,call,733.239990234375,749.0,0.0821917808219178,30,8.04,8.14,8.09,0.10000000000000142,0.012360939431396963,91.0,635,0.03690000057220459,0.012664339266372794,734.7020395804306,0.16652384163605452,77.94479412067685,1.021493658250401
2026-06-24,2026-07-24,call,733.239990234375,750.0,0.0821917808219178,30,7.57,7.67,7.62,0.09999999999999964,0.013123359580052446,2470.0,3063,0.03690000057220459,0.012664339266372794,734.7020395804306,0.1646852764003721,76.93100107455888,1.0228574682080116
2026-06-24,2026-07-24,call,733.239990234375,751.0,0.0821917808219178,30,7.13,7.23,7.18,0.10000000000000053,0.013927576601671383,90.0,853,0.03690000057220459,0.012664339266372794,734.7020395804306,0.16306163023713705,75.84585657411554,1.0242212781656224
2026-06-24,2026-07-24,call,733.239990234375,752.0,0.0821917808219178,30,6.7,6.8,6.75,0.09999999999999964,0.014814814814814762,65.0,996,0.03690000057220459,0.012664339266372794,734.7020395804306,0.16139203474410288,74.66658267785324,1.0255850881232331
2026-06-24,2026-07-24,call,733.239990234375,753.0,0.0821917808219178,30,6.28,6.38,6.33,0.09999999999999964,0.015797788309636594,174.0,1068,0.03690000057220459,0.012664339266372794,734.7020395804306,0.15967180790682395,73.38968535117766,1.0269488980808437
2026-06-24,2026-07-24,call,733.239990234375,754.0,0.0821917808219178,30,5.88,5.98,5.93,0.10000000000000053,0.016863406408094524,173.0,445,0.03690000057220459,0.012664339266372794,734.7020395804306,0.1580345748804298,72.03205829996001,1.0283127080384544
2026-06-24,2026-07-24,call,733.239990234375,755.0,0.0821917808219178,30,5.5,5.59,5.545,0.08999999999999986,0.016230838593327298,468.0,1134,0.03690000057220459,0.012664339266372794,734.7020395804306,0.15641225651240323,70.58648391148867,1.029676517996065
2026-06-24,2026-07-24,call,733.239990234375,756.0,0.0821917808219178,30,5.14,5.22,5.18,0.08000000000000007,0.015444015444015458,269.0,942,0.03690000057220459,0.012664339266372794,734.7020395804306,0.15487640736812414,69.06742905505484,1.0310403279536757
2026-06-24,2026-07-24,call,733.239990234375,757.0,0.0821917808219178,30,4.79,4.87,4.83,0.08000000000000007,0.01656314699792962,157.0,578,0.03690000057220459,0.012664339266372794,734.7020395804306,0.15335754460197434,67.46661332255968,1.0324041379112865
2026-06-24,2026-07-24,call,733.239990234375,758.0,0.0821917808219178,30,4.45,4.53,4.49,0.08000000000000007,0.017817371937639215,162.0,431,0.03690000057220459,0.012664339266372794,734.7020395804306,0.15178000146575601,65.76982446962491,1.033767947868897
2026-06-24,2026-07-24,call,733.239990234375,759.0,0.0821917808219178,30,4.13,4.21,4.17,0.08000000000000007,0.019184652278177474,33.0,209,0.03690000057220459,0.012664339266372794,734.7020395804306,0.15029456492138266,64.01234116701636,1.0351317578265078
2026-06-24,2026-07-24,call,733.239990234375,760.0,0.0821917808219178,30,3.83,3.91,3.87,0.08000000000000007,0.020671834625323016,206.0,687,0.03690000057220459,0.012664339266372794,734.7020395804306,0.1489089110933524,62.20443515071458,1.0364955677841186
2026-06-24,2026-07-24,call,733.239990234375,761.0,0.0821917808219178,30,3.54,3.62,3.58,0.08000000000000007,0.022346368715083817,173.0,324,0.03690000057220459,0.012664339266372794,734.7020395804306,0.1474668695917227,60.311346710976665,1.037859377741729
2026-06-24,2026-07-24,call,733.239990234375,762.0,0.0821917808219178,30,3.27,3.34,3.3049999999999997,0.06999999999999984,0.021180030257186035,59.0,134,0.03690000057220459,0.012664339266372794,734.7020395804306,0.1460494813090116,58.35814834170603,1.0392231876993399
2026-06-24,2026-07-24,call,733.239990234375,763.0,0.0821917808219178,30,3.01,3.08,3.045,0.07000000000000028,0.02298850574712653,186.0,281,0.03690000057220459,0.012664339266372794,734.7020395804306,0.144660689187232,56.35209360678645,1.0405869976569506
2026-06-24,2026-07-24,call,733.239990234375,764.0,0.0821917808219178,30,2.77,2.84,2.8049999999999997,0.06999999999999984,0.024955436720142547,181.0,1004,0.03690000057220459,0.012664339266372794,734.7020395804306,0.14339769882836706,54.3332492221644,1.0419508076145612
2026-06-24,2026-07-24,call,733.239990234375,765.0,0.0821917808219178,30,2.54,2.61,2.575,0.06999999999999984,0.027184466019417413,526.0,720,0.03690000057220459,0.012664339266372794,734.7020395804306,0.1420867016479709,52.251488044341144,1.043314617572172
2026-06-24,2026-07-24,call,733.239990234375,766.0,0.0821917808219178,30,2.33,2.39,2.3600000000000003,0.06000000000000005,0.02542372881355934,286.0,614,0.03690000057220459,0.012664339266372794,734.7020395804306,0.14082483031107915,50.146919957402886,1.0446784275297825
2026-06-24,2026-07-24,call,733.239990234375,767.0,0.0821917808219178,30,2.13,2.19,2.16,0.06000000000000005,0.0277777777777778,97.0,356,0.03690000057220459,0.012664339266372794,734.7020395804306,0.1396226634855396,48.032693948941436,1.0460422374873932
2026-06-24,2026-07-24,call,733.239990234375,768.0,0.0821917808219178,30,1.95,2.0,1.975,0.050000000000000044,0.025316455696202552,95.0,207,0.03690000057220459,0.012664339266372794,734.7020395804306,0.13849336388404404,45.923805843618794,1.047406047445004
2026-06-24,2026-07-24,call,733.239990234375,769.0,0.0821917808219178,30,1.77,1.83,1.8,0.06000000000000005,0.03333333333333336,31.0,380,0.03690000057220459,0.012664339266372794,734.7020395804306,0.1373390629649676,43.788417204483046,1.0487698574026145
2026-06-24,2026-07-24,call,733.239990234375,770.0,0.0821917808219178,30,1.61,1.67,1.6400000000000001,0.05999999999999983,0.03658536585365843,325.0,1149,0.03690000057220459,0.012664339266372794,734.7020395804306,0.13628240828869043,41.68644173471979,1.0501336673602253
2026-06-24,2026-07-24,call,733.239990234375,771.0,0.0821917808219178,30,1.46,1.52,1.49,0.06000000000000005,0.040268456375838965,250.0,466,0.03690000057220459,0.012664339266372794,734.7020395804306,0.13521999648779356,39.58159261236232,1.051497477317836
2026-06-24,2026-07-24,call,733.239990234375,772.0,0.0821917808219178,30,1.33,1.38,1.355,0.04999999999999982,0.036900369003689905,23.0,501,0.03690000057220459,0.012664339266372794,734.7020395804306,0.13429228199745902,37.545467486620325,1.0528612872754466
2026-06-24,2026-07-24,call,733.239990234375,773.0,0.0821917808219178,30,1.2,1.25,1.225,0.050000000000000044,0.040816326530612276,66.0,484,0.03690000057220459,0.012664339266372794,734.7020395804306,0.1332497970350228,35.470799818583714,1.0542250972330574
2026-06-24,2026-07-24,call,733.239990234375,774.0,0.0821917808219178,30,1.09,1.13,1.1099999999999999,0.039999999999999813,0.03603603603603587,163.0,499,0.03690000057220459,0.012664339266372794,734.7020395804306,0.13238023239859223,33.49879089535689,1.0555889071906681
2026-06-24,2026-07-24,call,733.239990234375,775.0,0.0821917808219178,30,0.98,1.02,1.0,0.040000000000000036,0.040000000000000036,569.0,2340,0.03690000057220459,0.012664339266372794,734.7020395804306,0.13140967199590253,31.506544227928792,1.0569527171482787
2026-06-24,2026-07-24,call,733.239990234375,776.0,0.0821917808219178,30,0.88,0.93,0.905,0.050000000000000044,0.05524861878453043,117.0,484,0.03690000057220459,0.012664339266372794,734.7020395804306,0.1306674930606845,29.658260671955713,1.0583165271058894
2026-06-24,2026-07-24,call,733.239990234375,777.0,0.0821917808219178,30,0.8,0.83,0.815,0.029999999999999916,0.036809815950920144,15.0,465,0.03690000057220459,0.012664339266372794,734.7020395804306,0.12985220965207178,27.81422881502365,1.0596803370635002
2026-06-24,2026-07-24,call,733.239990234375,778.0,0.0821917808219178,30,0.72,0.75,0.735,0.030000000000000027,0.04081632653061228,126.0,217,0.03690000057220459,0.012664339266372794,734.7020395804306,0.12915340092103092,26.07069716444042,1.0610441470211107
